kana,country
アゼルバイジャン,Azerbaijan
アラブ首長国連邦,UAE
アルジェリア,Algeria
アルゼンチン,Argentina
アルメニア,Armenia
アンゴラ,Angola
イスラエル,Israel
イラク,Iraq
インド,India
インドネシア,Indonesia
ウガンダ,Uganda
ウルグアイ,Uruguay
エスワティニ,Eswatini
エリトリア,Eritrea
エルサルバドル,ElSalvador
オーストラリア,Australia
オーストリア,Austria
オマーン,Oman
ガーナ,Ghana
カーボベルデ,CapeVerde
ガイアナ,Guyana
カザフスタン,Kazakhstan
カタール,Qatar
カナダ,Canada
ガボン,Gabon
カメルーン,Cameroon
韓国,Korea
ガンビア,Gambia
カンボジア,Cambodia
キューバ,Cuba
キリバス,Kiribati
キルギス,Kyrgyzstan
グアテマラ,Guatemala
クウェート,Kuwait
クック諸島,Cook
コスタリカ,CostaRica
コモロ,Comoros
コロンビア,Colombia
コンゴ共和国,RepublicoftheCongo
サウジアラビア,SaudiArabia
サモア,Samoa
ジブラルタル,Gibraltar
ジャマイカ,Jamaica
ジョージア,Georgia
シリア,Syria
シンガポール,Singapore
ジンバブエ,Zimbabwe
スリナム,Suriname
スリランカ,SriLanka
セーシェル,Seychelles
赤道ギニア,EquatorialGuinea
セネガル,Senegal
セントクリストファー・ネービス,SaintKittsandNevis
ソロモン諸島,Solomon
タイ,Thailand
台湾,Taiwan
タジキスタン,Tajikistan
チャド,Chad
中央アフリカ共和国,CentralAfricanRepublic
中国,China
チュニジア,Tunisia
チリ,Chile
ツバル,Tuvalu
ドイツ,Germany
トリニダード・トバゴ,TT
トルクメニスタン,Turkmenistan
トンガ,Tonga
ナイジェリア,Nigeria
ナウル,Nauru
ナミビア,Namibia
ニウエ,Niue
ニューカレドニア,NewCaledonia
ニュージーランド,NZ
ネパール,Nepar
ノルウェー,Norway
バーレーン,Bahrain
パナマ,Panama
バヌアツ,Vanuatu
パプアニューギニア,PNG
パラオ,Palau
パラグアイ,Paraguay
バングラデシュ,Bangladesh
東ティモール,TimorLeste
フィリピン,Philippines
ブータン,Bhutan
仏領ポリネシア,Polynesia
ブラジル,Brasil
ブルネイ,Brunei
ブルンジ,Burundi
ベトナム,Vietnam
ベネズエラ,Venezuela
ベリーズ,Belize
ペルー,Peru
ベルギー,Belgium
ボスニア・ヘルツェゴビナ,BosniaandHerzegovina
ボツワナ,Botswana
ボリビア,Bolivia
香港,HongKong
マーシャル,Marshall
マカオ,Macau
マダガスカル,Madagascar
マラウイ,Malawi
マレーシア,Malaysia
ミクロネシア,Micronesia
南アフリカ,SouthAfrica
南スーダン,SouthSudan
ミャンマー,Myanmar
モーリシャス,Mauritius
モーリタニア,Mauritania
モザンビーク,Mozambique
モルドバ,Moldova
モロッコ,Morocco
モンゴル,Mongolia
ヨルダン,Jordan
ラオス,Lao
リビア,Libya
レソト,Lesotho
ロシア,Russia
