kana,country,flg
アゼルバイジャン,Azerbaijan,1
アラブ首長国連邦,UAE,1
アルジェリア,Algeria,1
アルゼンチン,Argentina,1
アルメニア,Armenia,1
アンゴラ,Angola,1
イスラエル,Israel,1
イラク,Iraq,1
インド,India,1
インドネシア,Indonesia,1
ウガンダ,Uganda,1
ウルグアイ,Uruguay,1
エスワティニ,Eswatini,1
エリトリア,Eritrea,1
エルサルバドル,ElSalvador,1
オーストラリア,Australia,1
オーストリア,Austria,1
オマーン,Oman,1
ガーナ,Ghana,1
カーボベルデ,CapeVerde,1
ガイアナ,Guyana,1
カザフスタン,Kazakhstan,1
カタール,Qatar,1
カナダ,Canada,1
ガボン,Gabon,1
カメルーン,Cameroon,1
韓国,Korea,1
ガンビア,Gambia,1
カンボジア,Cambodia,1
キューバ,Cuba,1
キリバス,Kiribati,1
キルギス,Kyrgyzstan,1
グアテマラ,Guatemala,1
クウェート,Kuwait,1
クック諸島,Cook,1
コスタリカ,CostaRica,1
コモロ,Comoros,1
コロンビア,Colombia,1
コンゴ共和国,RepublicoftheCongo,1
サウジアラビア,SaudiArabia,1
サモア,Samoa,1
ジブラルタル,Gibraltar,1
ジャマイカ,Jamaica,1
ジョージア,Georgia,1
シリア,Syria,1
シンガポール,Singapore,1
ジンバブエ,Zimbabwe,1
スリナム,Suriname,1
スリランカ,SriLanka,1
セーシェル,Seychelles,1
赤道ギニア,EquatorialGuinea,1
セネガル,Senegal,1
セントクリストファー・ネービス,SaintKittsandNevis,1
ソロモン諸島,Solomon,1
タイ,Thailand,1
台湾,Taiwan,1
タジキスタン,Tajikistan,1
チャド,Chad,1
中央アフリカ共和国,CentralAfricanRepublic,1
中国,China,1
チュニジア,Tunisia,1
チリ,Chile,1
ツバル,Tuvalu,1
ドイツ,Germany,1
トリニダード・トバゴ,TT,1
トルクメニスタン,Turkmenistan,1
トンガ,Tonga,1
ナイジェリア,Nigeria,1
ナウル,Nauru,1
ナミビア,Namibia,1
ニウエ,Niue,1
ニューカレドニア,NewCaledonia,1
ニュージーランド,NZ,1
ネパール,Nepar,1
ノルウェー,Norway,1
バーレーン,Bahrain,1
パナマ,Panama,1
バヌアツ,Vanuatu,1
パプアニューギニア,PNG,1
パラオ,Palau,1
パラグアイ,Paraguay,1
バングラデシュ,Bangladesh,1
東ティモール,TimorLeste,1
フィリピン,Philippines,1
ブータン,Bhutan,1
仏領ポリネシア,Polynesia,1
ブラジル,Brasil,1
ブルネイ,Brunei,1
ブルンジ,Burundi,1
ベトナム,Vietnam,1
ベネズエラ,Venezuela,1
ベリーズ,Belize,1
ペルー,Peru,1
ベルギー,Belgium,1
ボスニア・ヘルツェゴビナ,BosniaandHerzegovina,1
ボツワナ,Botswana,1
ボリビア,Bolivia,1
香港,HongKong,1
マーシャル,Marshall,1
マカオ,Macau,1
マダガスカル,Madagascar,1
マラウイ,Malawi,1
マレーシア,Malaysia,1
ミクロネシア,Micronesia,1
南アフリカ,SouthAfrica,1
南スーダン,SouthSudan,1
ミャンマー,Myanmar,1
モーリシャス,Mauritius,1
モーリタニア,Mauritania,1
モザンビーク,Mozambique,1
モルドバ,Moldova,1
モロッコ,Morocco,1
モンゴル,Mongolia,1
ヨルダン,Jordan,1
ラオス,Lao,1
リビア,Libya,1
レソト,Lesotho,1
ロシア,Russia,1
